,source,target,size
398,1842,3101.0,130
399,1846,1139.0,23
400,1846,1189.0,38
401,1846,2760.0,20
402,1846,2808.0,38
403,1848,2419.0,56
404,1848,3048.0,36
405,1853,635.0,33
406,1853,2833.0,61
407,1858,406.0,13
408,1858,1402.0,36
409,1858,1899.0,36
410,1858,1936.0,28
411,1858,2036.0,21
412,1863,407.0,48
413,1863,2301.0,42
414,1899,1858.0,36
415,1899,2391.0,36
416,1917,1404.0,12
417,1917,2909.0,114
418,1919,2632.0,16
419,1919,3013.0,24
420,1930,1761.0,66
421,1930,2612.0,88
422,1930,2982.0,20
423,1934,1575.0,43
424,1934,1632.0,50
425,1936,1858.0,13
426,1936,2976.0,28
427,1937,388.0,78
428,1937,1066.0,65
429,1940,926.0,22
430,1940,1202.0,85
431,1940,2392.0,24
432,1949,1528.0,42
433,1949,1969.0,28
434,1964,905.0,78
435,1964,1066.0,78
436,1969,937.0,42
437,1969,1949.0,28
438,1973,1005.0,11
439,1974,734.0,60
440,1974,2437.0,60
441,1998,811.0,60
442,1998,905.0,36
443,2015,1151.0,36
444,2015,1473.0,47
445,2019,2391.0,36
446,2019,3014.0,24
447,2033,858.0,180
448,2033,2987.0,150
449,2035,934.0,9
450,2035,2894.0,43
451,2036,1858.0,49
452,2036,3053.0,21
453,2046,1037.0,32
454,2046,1039.0,36
455,2046,1720.0,33
456,2046,2301.0,48
457,2046,3380.0,36
458,2099,1229.0,22
459,2099,3025.0,22
460,2111,2564.0,11
461,2111,2589.0,27
462,2112,472.0,9
463,2112,725.0,36
464,2112,866.0,18
465,2112,1202.0,24
466,2112,2513.0,42
467,2112,3109.0,9
468,2138,2640.0,36
469,2138,3134.0,39
470,2143,588.0,36
471,2143,736.0,33
472,2147,1712.0,93
473,2147,2919.0,69
474,2147,2920.0,14
475,2147,3016.0,15
476,2147,3061.0,180
477,2147,3507.0,294
478,2151,1139.0,50
479,2151,1258.0,50
480,2195,2218.0,9
481,2195,2760.0,9
482,2211,1134.0,33
483,2211,1202.0,36
484,2218,1100.0,9
485,2218,2195.0,9
486,2218,2760.0,12
487,2223,424.0,23
488,2223,632.0,23
489,2223,2836.0,36
490,2223,3183.0,48
491,2235,424.0,23
492,2235,1111.0,23
493,2250,654.0,30
494,2260,801.0,33
495,2260,1593.0,47
496,2275,1089.0,24
497,2275,2477.0,24
498,2301,1863.0,48
499,2301,2046.0,42
500,2335,1425.0,9
501,2335,2336.0,54
502,2335,3114.0,36
503,2336,472.0,54
504,2336,2335.0,36
505,2337,634.0,66
