stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2111,,PIACENZA, ,45.051976,9.706193, ,0, 
5339,,CASLINO AL PIANO, ,45.711146,9.040005, ,0, 
3222,,COMO CAMERLATA, ,45.784595,9.0794983, ,0, 
3114,,VISANO, ,45.315376,10.363339, ,0, 
1153,,COLORNO, ,44.927985,10.382871, ,0, 
635,,BESNATE, ,45.695494,8.761251, ,0, 
1393,,GALLARATE, ,45.659576,8.798429, ,0, 
2757,,SOMMA LOMBARDO, ,45.686358,8.712925, ,0, 
641,,BIANZONE, ,46.179362,10.113156, ,0, 
5154,,ISEO, ,45.656582,10.050068, ,0, 
1208,,CUCCIAGO, ,45.740787,9.082147, ,0, 
899,,CARIMATE, ,45.697156,9.1075, ,0, 
1087,,CHIASSO, ,45.83226,9.031545, ,0, 
5046,,SEVESO, ,45.648387,9.140252, ,0, 
5324,,GAVIRATE VERBANO, ,45.851219,8.706198, ,0, 
632,,BERGAMO, ,45.690458,9.674983, ,0, 
997,,CASTELLEONE, ,45.301767,9.76772, ,0, 
2987,,VANZAGO POGLIANO, ,45.525021,8.996317, ,0, 
1099,,CHIUDUNO, ,45.650506,9.847004, ,0, 
1128,,COCCAGLIO, ,45.561114,9.977874, ,0, 
2147,,PIOLTELLO LIMITO, ,45.486115,9.329494, ,0, 
381,,PREGNANA MILANESE, ,45.507806,8.996529, ,0, 
1040,,CAVA TIGOZZI, ,45.171834,9.888747, ,0, 
642,,BIASSONO-LESMO PARCO, ,45.632282,9.298296, ,0, 
3596,,STEZZANO, ,45.658684,9.644929, ,0, 
1698,,MERONE, ,45.780321,9.243423, ,0, 
5276,,MALPENSA AEROPORTO T.2, ,45.650219,8.72024, ,0, 
2696,,SEREGNO, ,45.646169,9.202903, ,0, 
5097,,CANZO, ,45.849063,9.270296, ,0, 
2275,,PRATA CAMPORTACCIO, ,46.307727,9.39772, ,0, 
891,,CARATE-CALO', ,45.676423,9.252272, ,0, 
1402,,GAMBOLO'-REMONDO', ,45.235317,8.799751, ,0, 
1712,,MILANO LAMBRATE, ,45.484846,9.23675, ,0, 
2889,,TORREBERETTI, ,45.060436,8.66085, ,0, 
5070,,PALAZZOLO MILANESE, ,45.581229,9.156622, ,0, 
